goal_id,match_id,player_id,team_id,scored_team_id,minute,minute_numeric,is_own_goal,is_penalty
1,Matchday1_2026-06-11_Mexico_SouthAfrica,42,1,1,9,9,FALSE,FALSE
2,Matchday1_2026-06-11_Mexico_SouthAfrica,35,1,1,67,67,FALSE,FALSE
3,Matchday1_2026-06-11_SouthKorea_CzechRepublic,84,3,3,67,67,FALSE,FALSE
4,Matchday1_2026-06-11_SouthKorea_CzechRepublic,96,3,3,80,80,FALSE,FALSE
5,Matchday1_2026-06-11_SouthKorea_CzechRepublic,7,4,4,59,59,FALSE,FALSE
6,Matchday8_2026-06-18_CzechRepublic_SouthAfrica,18,4,4,6,6,FALSE,FALSE
7,Matchday8_2026-06-18_CzechRepublic_SouthAfrica,56,2,2,83,83,FALSE,TRUE
8,Matchday8_2026-06-18_Mexico_SouthKorea,33,1,1,50,50,FALSE,FALSE
9,Matchday14_2026-06-24_CzechRepublic_Mexico,46,1,1,55,55,FALSE,FALSE
10,Matchday14_2026-06-24_CzechRepublic_Mexico,42,1,1,61,61,FALSE,FALSE
11,Matchday14_2026-06-24_CzechRepublic_Mexico,34,1,1,90+4,90.04,FALSE,FALSE
12,Matchday14_2026-06-24_SouthAfrica_SouthKorea,64,2,2,63,63,FALSE,FALSE
13,Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,139,5,5,78,78,FALSE,FALSE
14,Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,129,6,6,21,21,FALSE,FALSE
15,Matchday3_2026-06-13_Qatar_Switzerland,184,8,8,90+4,90.04,TRUE,FALSE
16,Matchday3_2026-06-13_Qatar_Switzerland,189,8,8,17,17,FALSE,TRUE
17,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,191,8,8,74,74,FALSE,FALSE
18,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,191,8,8,90,90,FALSE,FALSE
19,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,199,8,8,84,84,FALSE,FALSE
20,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,192,8,8,90+7,90.07,FALSE,TRUE
21,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,130,6,6,90+3,90.03,FALSE,FALSE
22,Matchday8_2026-06-18_Canada_Qatar,139,5,5,16,16,FALSE,FALSE
23,Matchday8_2026-06-18_Canada_Qatar,140,5,5,29,29,FALSE,FALSE
24,Matchday8_2026-06-18_Canada_Qatar,140,5,5,45+3,45.03,FALSE,FALSE
25,Matchday8_2026-06-18_Canada_Qatar,155,5,5,64,64,FALSE,FALSE
26,Matchday8_2026-06-18_Canada_Qatar,182,7,7,75,75,TRUE,FALSE
27,Matchday8_2026-06-18_Canada_Qatar,140,5,5,90+2,90.02,FALSE,FALSE
28,Matchday14_2026-06-24_Switzerland_Canada,199,8,8,46,46,FALSE,FALSE
29,Matchday14_2026-06-24_Switzerland_Canada,191,8,8,57,57,FALSE,FALSE
30,Matchday14_2026-06-24_Switzerland_Canada,154,5,5,76,76,FALSE,FALSE
31,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,123,6,6,29,29,FALSE,FALSE
32,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,157,7,7,34,34,TRUE,FALSE
33,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,130,6,6,80,80,FALSE,FALSE
34,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,166,7,7,42,42,FALSE,FALSE
35,Matchday3_2026-06-13_Brazil_Morocco,215,9,9,32,32,FALSE,FALSE
36,Matchday3_2026-06-13_Brazil_Morocco,271,10,10,21,21,FALSE,FALSE
37,Matchday3_2026-06-13_Haiti_Scotland,293,12,12,28,28,FALSE,FALSE
38,Matchday9_2026-06-19_Scotland_Morocco,271,10,10,2,2,FALSE,FALSE
39,Matchday9_2026-06-19_Brazil_Haiti,217,9,9,23,23,FALSE,FALSE
40,Matchday9_2026-06-19_Brazil_Haiti,217,9,9,36,36,FALSE,FALSE
41,Matchday9_2026-06-19_Brazil_Haiti,215,9,9,45+3,45.03,FALSE,FALSE
42,Matchday14_2026-06-24_Scotland_Brazil,215,9,9,7,7,FALSE,FALSE
43,Matchday14_2026-06-24_Scotland_Brazil,215,9,9,45+3,45.03,FALSE,FALSE
44,Matchday14_2026-06-24_Scotland_Brazil,217,9,9,60,60,FALSE,FALSE
45,Matchday14_2026-06-24_Morocco_Haiti,262,10,10,39,39,FALSE,FALSE
46,Matchday14_2026-06-24_Morocco_Haiti,271,10,10,45+1,45.01,FALSE,FALSE
47,Matchday14_2026-06-24_Morocco_Haiti,269,10,10,78,78,FALSE,FALSE
48,Matchday14_2026-06-24_Morocco_Haiti,276,10,10,89,89,FALSE,FALSE
49,Matchday14_2026-06-24_Morocco_Haiti,261,10,10,10,10,TRUE,FALSE
50,Matchday14_2026-06-24_Morocco_Haiti,252,11,11,43,43,FALSE,FALSE
51,Matchday2_2026-06-12_USA_Paraguay,354,14,14,7,7,TRUE,FALSE
52,Matchday2_2026-06-12_USA_Paraguay,410,13,13,31,31,FALSE,FALSE
53,Matchday2_2026-06-12_USA_Paraguay,410,13,13,45+5,45.05,FALSE,FALSE
54,Matchday2_2026-06-12_USA_Paraguay,397,13,13,90+8,90.08,FALSE,FALSE
55,Matchday2_2026-06-12_USA_Paraguay,349,14,14,73,73,FALSE,FALSE
