coach_id,team_id,team_name,coach_name,coach_nationality,birth_date,age,photo_url,flag_url
1,1,Mexico,Javier Aguirre,Mexico,12/1/1958,67,https://digitalhub.fifa.com/transform/b36d8467-71b2-45e2-a681-dfb7e80a9ada/AGUIRRE-Javier_45078?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/MEX
2,2,South Africa,Hugo Broos,Belgium,4/10/1952,74,https://digitalhub.fifa.com/transform/a3a1f2de-d006-4e46-b144-f5b88b685891/BROOS-Hugo_46980?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/RSA
3,3,South Korea,Hong Myung-bo,South Korea,2/12/1969,57,https://digitalhub.fifa.com/transform/5d1b329b-f25b-4959-8b62-291e464057b7/HONG-Myungbo_2188?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/KOR
4,4,Czech Republic,Miroslav Koubek,Czech Republic,9/1/1951,74,https://digitalhub.fifa.com/transform/748dc03c-d38a-4197-ba8f-c45784bf9545/KOUBEK-Miroslav_516164?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/CZE
5,5,Canada,Jesse Marsch,United States,11/8/1973,52,https://digitalhub.fifa.com/transform/55544e4a-412e-4625-9e7d-325c84601102/MARSCH-Jesse_187150?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/CAN
6,6,Bosnia and Herzegovina,Sergej Barbarez,Bosnia and Herzegovina,7/17/1971,55,https://digitalhub.fifa.com/transform/7ad9e6c5-c158-4dff-bbe4-63d002ab2767/BARBAREZ-Sergej_179063?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/BIH
7,7,Qatar,Julen Lopetegui,Spain,8/28/1966,59,https://digitalhub.fifa.com/transform/149ce6d1-4fa8-4a4f-8be3-78fa7bf97c98/LOPETEGUI-Julen_77904?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/QAT
8,8,Switzerland,Murat Yakin,Switzerland,9/15/1974,51,https://digitalhub.fifa.com/transform/0951d425-6260-40aa-8905-0e79111bdf42/YAKIN-Murat_157842?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/SUI
9,9,Brazil,Carlo Ancelotti,Italy,7/10/1959,67,https://digitalhub.fifa.com/transform/a342a34b-9c43-43c3-beca-ad52d167e5c2/ANCELOTTI-Carlo_174348?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/BRA
10,10,Morocco,Mohamed Ouahbi,Belgium,9/7/1976,49,https://digitalhub.fifa.com/transform/188d1519-4897-4692-8417-f59a682d6255/OUAHBI-Mohamed_496329?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/MAR
11,11,Haiti,Sébastien Migné,France,11/30/1972,53,https://digitalhub.fifa.com/transform/b3030eeb-3434-4a10-85bb-1e4f759aab60/MIGNE-Sebastien_402273?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/HAI
12,12,Scotland,Stephen Clarke,England,8/29/1963,62,https://digitalhub.fifa.com/transform/70f21492-8364-4005-9281-41de50e0c360/CLARKE-Steve_47823?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/SCO
13,13,United States,Mauricio Pochettino,Argentina,3/2/1972,54,https://digitalhub.fifa.com/transform/e2f2629a-987f-459a-a461-89e1d38d8884/POCHETTINO-Mauricio_3075?&io=transform:fill,https://api.fifa.com/api/v3/picture/flags-sq-4/USA
