match_id,round,is_knocked,match_date,match_time,group_name,team1_id,team2_id,city,stadium_id,home_score_ft,away_score_ft,home_score_ht,away_score_ht,is_played
Matchday1_2026-06-11_Mexico_SouthAfrica,Matchday 1,FALSE,6/11/2026,13:00 UTC-6,Group A,1,2,Mexico City,6,2,0,1,0,TRUE
Matchday1_2026-06-11_SouthKorea_CzechRepublic,Matchday 1,FALSE,6/11/2026,20:00 UTC-6,Group A,3,4,Guadalajara (Zapopan),5,2,1,0,0,TRUE
Matchday8_2026-06-18_CzechRepublic_SouthAfrica,Matchday 8,FALSE,6/18/2026,12:00 UTC-4,Group A,4,2,Atlanta,11,1,1,1,0,TRUE
Matchday8_2026-06-18_Mexico_SouthKorea,Matchday 8,FALSE,6/18/2026,19:00 UTC-6,Group A,1,3,Guadalajara (Zapopan),5,1,0,0,0,TRUE
Matchday14_2026-06-24_CzechRepublic_Mexico,Matchday 14,FALSE,6/24/2026,19:00 UTC-6,Group A,4,1,Mexico City,6,0,3,0,0,TRUE
Matchday14_2026-06-24_SouthAfrica_SouthKorea,Matchday 14,FALSE,6/24/2026,19:00 UTC-6,Group A,2,3,Monterrey (Guadalupe),7,1,0,0,0,TRUE
Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,Matchday 2,FALSE,6/12/2026,15:00 UTC-4,Group B,5,6,Toronto,13,1,1,0,1,TRUE
Matchday3_2026-06-13_Qatar_Switzerland,Matchday 3,FALSE,6/13/2026,12:00 UTC-7,Group B,7,8,San Francisco Bay Area (Santa Clara),3,1,1,0,1,TRUE
Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Matchday 8,FALSE,6/18/2026,12:00 UTC-7,Group B,8,6,Los Angeles (Inglewood),4,4,1,0,0,TRUE
Matchday8_2026-06-18_Canada_Qatar,Matchday 8,FALSE,6/18/2026,15:00 UTC-7,Group B,5,7,Vancouver,1,6,0,3,0,TRUE
Matchday14_2026-06-24_Switzerland_Canada,Matchday 14,FALSE,6/24/2026,12:00 UTC-7,Group B,8,5,Vancouver,1,2,1,0,0,TRUE
Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Matchday 14,FALSE,6/24/2026,12:00 UTC-7,Group B,6,7,Seattle,2,3,1,2,1,TRUE
Matchday3_2026-06-13_Brazil_Morocco,Matchday 3,FALSE,6/13/2026,18:00 UTC-4,Group C,9,10,New York/New Jersey (East Rutherford),16,1,1,1,1,TRUE
Matchday3_2026-06-13_Haiti_Scotland,Matchday 3,FALSE,6/13/2026,21:00 UTC-4,Group C,11,12,Boston (Foxborough),14,0,1,0,1,TRUE
Matchday9_2026-06-19_Scotland_Morocco,Matchday 9,FALSE,6/19/2026,18:00 UTC-4,Group C,12,10,Boston (Foxborough),14,0,1,0,1,TRUE
Matchday9_2026-06-19_Brazil_Haiti,Matchday 9,FALSE,6/19/2026,20:30 UTC-4,Group C,9,11,Philadelphia,15,3,0,3,0,TRUE
Matchday14_2026-06-24_Scotland_Brazil,Matchday 14,FALSE,6/24/2026,18:00 UTC-4,Group C,12,9,Miami (Miami Gardens),12,0,3,0,2,TRUE
Matchday14_2026-06-24_Morocco_Haiti,Matchday 14,FALSE,6/24/2026,18:00 UTC-4,Group C,10,11,Atlanta,11,4,2,2,2,TRUE
Matchday2_2026-06-12_USA_Paraguay,Matchday 2,FALSE,6/12/2026,18:00 UTC-7,Group D,13,14,Los Angeles (Inglewood),4,4,1,3,0,TRUE
Matchday3_2026-06-13_Australia_Turkey,Matchday 3,FALSE,6/13/2026,21:00 UTC-7,Group D,15,16,Vancouver,1,2,0,1,0,TRUE
Matchday9_2026-06-19_USA_Australia,Matchday 9,FALSE,6/19/2026,12:00 UTC-7,Group D,13,15,Seattle,2,2,0,2,0,TRUE
Matchday9_2026-06-19_Turkey_Paraguay,Matchday 9,FALSE,6/19/2026,20:00 UTC-7,Group D,16,14,San Francisco Bay Area (Santa Clara),3,0,1,0,1,TRUE
Matchday15_2026-06-25_Turkey_USA,Matchday 15,FALSE,6/25/2026,19:00 UTC-7,Group D,16,13,Los Angeles (Inglewood),4,3,2,2,1,TRUE
Matchday15_2026-06-25_Paraguay_Australia,Matchday 15,FALSE,6/25/2026,19:00 UTC-7,Group D,14,15,San Francisco Bay Area (Santa Clara),3,0,0,0,0,TRUE
Matchday4_2026-06-14_Germany_Curaçao,Matchday 4,FALSE,6/14/2026,12:00 UTC-5,Group E,17,18,Houston,8,7,1,3,1,TRUE
Matchday4_2026-06-14_IvoryCoast_Ecuador,Matchday 4,FALSE,6/14/2026,19:00 UTC-4,Group E,19,20,Philadelphia,15,1,0,0,0,TRUE
Matchday10_2026-06-20_Germany_IvoryCoast,Matchday 10,FALSE,6/20/2026,16:00 UTC-4,Group E,17,19,Toronto,13,2,1,0,1,TRUE
Matchday10_2026-06-20_Ecuador_Curaçao,Matchday 10,FALSE,6/20/2026,19:00 UTC-5,Group E,20,18,Kansas City,10,0,0,0,0,TRUE
Matchday15_2026-06-25_Curaçao_IvoryCoast,Matchday 15,FALSE,6/25/2026,16:00 UTC-4,Group E,18,19,Philadelphia,15,0,2,0,1,TRUE
Matchday15_2026-06-25_Ecuador_Germany,Matchday 15,FALSE,6/25/2026,16:00 UTC-4,Group E,20,17,New York/New Jersey (East Rutherford),16,2,1,1,1,TRUE
Matchday4_2026-06-14_Netherlands_Japan,Matchday 4,FALSE,6/14/2026,15:00 UTC-5,Group F,21,22,Dallas (Arlington),9,2,2,0,0,TRUE
Matchday4_2026-06-14_Sweden_Tunisia,Matchday 4,FALSE,6/14/2026,20:00 UTC-6,Group F,23,24,Monterrey (Guadalupe),7,5,1,2,1,TRUE
Matchday10_2026-06-20_Netherlands_Sweden,Matchday 10,FALSE,6/20/2026,12:00 UTC-5,Group F,21,23,Houston,8,5,1,2,0,TRUE
Matchday10_2026-06-20_Tunisia_Japan,Matchday 10,FALSE,6/20/2026,22:00 UTC-6,Group F,24,22,Monterrey (Guadalupe),7,0,4,0,2,TRUE
Matchday15_2026-06-25_Japan_Sweden,Matchday 15,FALSE,6/25/2026,18:00 UTC-5,Group F,22,23,Dallas (Arlington),9,1,1,0,0,TRUE
Matchday15_2026-06-25_Tunisia_Netherlands,Matchday 15,FALSE,6/25/2026,18:00 UTC-5,Group F,24,21,Kansas City,10,1,3,0,2,TRUE
Matchday5_2026-06-15_Belgium_Egypt,Matchday 5,FALSE,6/15/2026,12:00 UTC-7,Group G,25,26,Seattle,2,1,1,0,1,TRUE
Matchday5_2026-06-15_Iran_NewZealand,Matchday 5,FALSE,6/15/2026,18:00 UTC-7,Group G,27,28,Los Angeles (Inglewood),4,2,2,1,1,TRUE
Matchday11_2026-06-21_Belgium_Iran,Matchday 11,FALSE,6/21/2026,12:00 UTC-7,Group G,25,27,Los Angeles (Inglewood),4,0,0,0,0,TRUE
Matchday11_2026-06-21_NewZealand_Egypt,Matchday 11,FALSE,6/21/2026,18:00 UTC-7,Group G,28,26,Vancouver,1,1,3,1,0,TRUE
Matchday16_2026-06-26_Egypt_Iran,Matchday 16,FALSE,6/26/2026,20:00 UTC-7,Group G,26,27,Seattle,2,1,1,1,1,TRUE
Matchday16_2026-06-26_NewZealand_Belgium,Matchday 16,FALSE,6/26/2026,20:00 UTC-7,Group G,28,25,Vancouver,1,1,5,0,1,TRUE
Matchday5_2026-06-15_Spain_CapeVerde,Matchday 5,FALSE,6/15/2026,12:00 UTC-4,Group H,29,30,Atlanta,11,0,0,0,0,TRUE
Matchday5_2026-06-15_SaudiArabia_Uruguay,Matchday 5,FALSE,6/15/2026,18:00 UTC-4,Group H,31,32,Miami (Miami Gardens),12,1,1,1,0,TRUE
Matchday11_2026-06-21_Spain_SaudiArabia,Matchday 11,FALSE,6/21/2026,12:00 UTC-4,Group H,29,31,Atlanta,11,4,0,3,0,TRUE
Matchday11_2026-06-21_Uruguay_CapeVerde,Matchday 11,FALSE,6/21/2026,18:00 UTC-4,Group H,32,30,Miami (Miami Gardens),12,2,2,2,1,TRUE
Matchday16_2026-06-26_CapeVerde_SaudiArabia,Matchday 16,FALSE,6/26/2026,19:00 UTC-5,Group H,30,31,Houston,8,0,0,0,0,TRUE
Matchday16_2026-06-26_Uruguay_Spain,Matchday 16,FALSE,6/26/2026,18:00 UTC-6,Group H,32,29,Guadalajara (Zapopan),5,0,1,0,1,TRUE
Matchday6_2026-06-16_France_Senegal,Matchday 6,FALSE,6/16/2026,15:00 UTC-4,Group I,33,34,New York/New Jersey (East Rutherford),16,3,1,0,0,TRUE
Matchday6_2026-06-16_Iraq_Norway,Matchday 6,FALSE,6/16/2026,18:00 UTC-4,Group I,35,36,Boston (Foxborough),14,1,4,1,2,TRUE
