rank,player_id,player,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_the_penalty_area,attempts_outside_the_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,image_url
1,843,Michael Olise,5,5,17,0,8,9,0,1.84,0x,24,https://digitalhub.fifa.com/transform/979cc206-e23b-4b21-8d40-843607ba8964/OLISE-Michael_485655?&io=transform:fill
2,894,Martin Odegaard,4,3,9,0,5,4,0,0.72,0x,12,https://digitalhub.fifa.com/transform/2b895db6-7f67-4436-b8da-54bdf0dd2e2b/ODEGAARD-Martin_400716?&io=transform:fill
2,270,Brahim Diaz,4,1,6,0,4,2,0,0.31,0x,1,https://digitalhub.fifa.com/transform/b05c2233-cb0a-4abc-9413-e56ad25f0899/DIAZ-Brahim_430740?&io=transform:fill
2,972,Lionel Messi,4,19,34,24,16,18,0,6.16,1.3x,34,https://digitalhub.fifa.com/transform/19823774-fac0-485a-8a8f-572e7324c6c2/MESSI-Lionel_229397?&io=transform:fill
2,216,Bruno Guimaraes,4,2,8,0,5,3,1,1.02,0x,8,https://digitalhub.fifa.com/transform/0215cb23-c389-4c5a-9bb0-c7044ae7059a/BRUNO-GUIMARAES_430605?&io=transform:fill
6,51,Roberto Alvarado,3,0,5,0,2,3,0,0.28,0x,14,https://digitalhub.fifa.com/transform/b1a8a14a-2a27-4524-a6ed-679aca39d35d/ALVARADO-Roberto_403585?&io=transform:fill
6,1188,Anthony Gordon,3,4,6,17,6,0,2,0.7,1.43x,0,https://digitalhub.fifa.com/transform/bb7bbfe0-791d-408e-a2c2-f33156fce3e8/GORDON-Anthony_448189?&io=transform:fill
6,842,Kylian Mbappe,3,19,33,24,21,12,0,5.37,1.49x,4,https://digitalhub.fifa.com/transform/66f6087d-9563-4644-8f10-5614ef6e1e51/MBAPPE-Kylian_389867?&io=transform:fill
6,1177,Bukayo Saka,3,3,8,0,7,1,1,0.5,0x,4,https://digitalhub.fifa.com/transform/b1182d25-62ad-4ad8-8bae-2b7577569484/MUMIN-Abdul_441336?&io=transform:fill
6,905,Andreas Schjelderup,3,2,3,33,3,0,0,0.2,5.12x,0,https://digitalhub.fifa.com/transform/22f44194-f9c4-46c1-8621-f9680f7d73bc/SCHJELDERUP-Andreas_494626?&io=transform:fill
6,485,Florian Wirtz,3,1,10,0,5,5,0,0.97,0x,5,https://digitalhub.fifa.com/transform/3a120189-62cc-441f-b862-7fdd2a9abfa4/WIRTZ-Florian_430669?&io=transform:fill
6,581,Alexander Isak,3,6,8,13,5,3,1,0.68,1.48x,0,https://digitalhub.fifa.com/transform/c6ffe63b-aefd-43b8-bd9d-3c6e31a8f418/ISAK-Alexander_430150?&io=transform:fill
13,804,Marc Cucurella,2,3,4,0,3,1,1,0.3,0x,0,https://digitalhub.fifa.com/transform/3bc6b871-a4b2-4201-8885-a77420f4c7c9/CUCURELLA-Marc_430735?&io=transform:fill
13,790,Dani Olmo,2,1,11,0,6,5,1,0.76,0x,0,https://digitalhub.fifa.com/transform/c3f3e67a-90c1-469a-a4e1-263a470db989/OLMO-Dani_430750?&io=transform:fill
13,191,Johan Manzambi,2,3,6,50,4,2,0,0.63,4.73x,0,https://digitalhub.fifa.com/transform/a0cb9413-32ea-4b8f-9801-55474cb12b77/MANZAMBI-Johan_502727?&io=transform:fill
13,589,Viktor Gyokeres,2,6,12,8,9,3,0,1.39,0.72x,0,https://digitalhub.fifa.com/transform/ca3d75bf-7e31-4269-9933-b296eb3f5bff/GYOKERES-Viktor_483327?&io=transform:fill
13,711,Chris Wood,2,2,5,0,3,2,2,0.47,0x,0,https://digitalhub.fifa.com/transform/431bf921-6e73-469f-87bd-3fb2c010966e/WOOD-Chris_274078?&io=transform:fill
13,189,Breel Embolo,2,5,10,20,8,2,2,2.58,0.78x,0,https://digitalhub.fifa.com/transform/b2483096-041c-489b-a1c5-6d930f380909/EMBOLO-Breel_393480?&io=transform:fill
13,647,Nicolas Raskin,2,1,2,0,2,0,1,0.13,0x,0,https://digitalhub.fifa.com/transform/2a366682-88f4-4d6f-ae54-e474030615cc/RASKIN-Nicolas_495349?&io=transform:fill
13,494,Deniz Undav,2,4,6,50,5,1,0,1.43,2.1x,0,https://digitalhub.fifa.com/transform/3ec30e08-a7eb-4781-aea8-0e9ff86ebef1/UNDAV-Deniz_484851?&io=transform:fill
13,644,Hans Vanaken,2,1,5,20,4,1,0,0.64,1.56x,0,https://digitalhub.fifa.com/transform/9018ca03-c5c1-4dc1-8d4f-7ee07308dc55/VANAKEN-Hans_448343?&io=transform:fill
13,554,Ryan Gravenberch,2,0,5,0,2,3,0,0.25,0x,0,https://digitalhub.fifa.com/transform/ad5fe14f-b29c-4c20-8477-b00bf14c413f/GRAVENBERCH-Ryan_430176?&io=transform:fill
13,839,Ousmane Dembele,2,8,18,28,11,7,1,1.6,3.13x,17,https://digitalhub.fifa.com/transform/e6eee717-fd8c-4f8f-a7e0-c4f978fe327f/DEMBELE-Ousmane_398680?&io=transform:fill
13,568,Denzel Dumfries,2,2,5,0,4,1,2,0.44,0x,0,https://digitalhub.fifa.com/transform/f2a2746b-7691-40c4-a052-60db3219a856/DUMFRIES-Denzel_436612?&io=transform:fill
13,474,Joshua Kimmich,2,1,5,0,1,4,0,0.15,0x,15,https://digitalhub.fifa.com/transform/ada33dfd-5b01-4792-88f4-14c06641509e/KIMMICH-Joshua_386413?&io=transform:fill
13,570,Crysencio Summerville,2,2,2,100,1,1,0,0.16,12.33x,3,https://digitalhub.fifa.com/transform/86e9f724-fc5f-4969-92e3-ac658dafacdd/SUMMERVILLE-Crysencio_489518?&io=transform:fill
13,890,Patrick Berg,2,0,3,0,0,3,0,0.29,0x,10,https://digitalhub.fifa.com/transform/aa692fb8-40c4-4273-a583-46ca3f57c34c/BERG-Patrick_483442?&io=transform:fill
13,634,Leandro Trossard,2,4,17,12,10,7,0,1.67,1.2x,0,https://digitalhub.fifa.com/transform/78476568-5abb-4047-b6c0-fd9651e0f39d/TROSSARD-Leandro_448355?&io=transform:fill
13,944,Houssem Aouar,2,1,3,0,1,2,0,0.24,0x,0,https://digitalhub.fifa.com/transform/ac743888-d671-4971-9df9-594b591f2425/AOUAR-Houssem_430698?&io=transform:fill
13,357,Julio Enciso,2,1,8,13,6,2,1,0.74,1.36x,2,https://digitalhub.fifa.com/transform/aa8ef158-6636-46a9-a6fb-185a2f92ad95/ENCISO-Julio_441234?&io=transform:fill
13,155,Nathan Saliba,2,1,3,33,1,2,1,0.3,3.36x,0,https://digitalhub.fifa.com/transform/1da64224-0271-489f-bea3-2aaa2e4cdf14/SALIBA-Nathan_423941?&io=transform:fill
13,262,Achraf Hakimi,2,4,14,7,6,8,0,0.96,1.04x,21,https://digitalhub.fifa.com/transform/22c6ca49-7262-4799-8a9f-530e427321ac/HAKIMI-Achraf_400721?&io=transform:fill
13,608,Hannibal Mejbri,2,1,3,0,0,3,0,0.06,0x,4,https://digitalhub.fifa.com/transform/856f0cc0-6dcc-48bc-a8db-f4fe26d8ae06/MEJBRI-Hannibal_433378?&io=transform:fill
13,660,Mohamed Salah,2,4,9,11,7,2,1,0.95,1.05x,15,https://digitalhub.fifa.com/transform/8d5236b8-acac-4946-af8e-5b007bcfa284/MOHAMED-SALAH_344654?&io=transform:fill
13,923,Iliman Ndiaye,2,2,3,33,2,1,0,0.21,4.76x,0,https://digitalhub.fifa.com/transform/6e228075-d552-4471-80b9-6beb5f574ac6/NDIAYE-Iliman_448815?&io=transform:fill
36,653,Mohamed Hany,1,0,4,0,0,4,0,0.09,0x,0,https://digitalhub.fifa.com/transform/04f8ef57-e16f-49de-b7d4-ad430c4c430c/MOHAMED-HANY_408950?&io=transform:fill
36,661,Mostafa Zico,1,3,8,25,7,1,2,1.1,1.82x,0,https://digitalhub.fifa.com/transform/f417b544-6a3c-46a9-af78-d43d6cedcad1/MOSTAFA-ZICO_483161?&io=transform:fill
36,499,Wilfried Singo,1,0,2,0,2,0,0,0.14,0x,0,https://digitalhub.fifa.com/transform/3b02f719-a68a-46ae-a249-e7b6538a5714/SINGO-Wilfried_430854?&io=transform:fill
36,920,Sadio Mane,1,3,6,0,4,2,0,0.58,0x,1,https://digitalhub.fifa.com/transform/e0f75257-7c12-4777-a0d6-87b5d30f5548/MANE-Sadio_353790?&io=transform:fill
36,1220,Ernest Nuamah,1,0,0,0,0,0,0,0,0x,0,https://digitalhub.fifa.com/transform/1561f6b3-4537-41a1-8803-367ec4c80519/NUAMAH-Ernest_448525?&io=transform:fill
36,278,Chadi Riad,1,0,1,0,1,0,1,0.12,0x,0,https://digitalhub.fifa.com/transform/074f7da4-2459-4f56-b245-0b496782d067/RIAD-Chadi_448607?&io=transform:fill
36,154,Promise David,1,3,5,20,3,2,1,0.75,1.34x,0,https://digitalhub.fifa.com/transform/5e47f75f-c26f-4a7b-81e5-7957cc1027eb/DAVID-Promise_493970?&io=transform:fill
36,929,Moussa Niakhate,1,0,1,0,1,0,1,0.06,0x,0,https://digitalhub.fifa.com/transform/8f89704d-50da-430b-b9dd-1775cf3c0f29/NIAKHATE-Moussa_430690?&io=transform:fill
36,256,Jean Kevin Duverne,1,0,1,0,1,0,0,0.03,0x,0,https://digitalhub.fifa.com/transform/00dad9f5-0949-43df-a856-1ce364adf673/DUVERNE-Jean-Kevin_431781?&io=transform:fill
36,921,Nicolas Jackson,1,3,7,0,6,1,2,0.56,0x,0,https://digitalhub.fifa.com/transform/27569451-1271-4fb3-86ee-51e88e913ec7/JACKSON-Nicolas_418795?&io=transform:fill
36,928,Ismaila Sarr,1,6,17,24,15,2,2,3.68,1.09x,0,https://digitalhub.fifa.com/transform/695226c6-92b8-4aa6-995e-dcdd2d08eb96/SARR-Ismaila_401889?&io=transform:fill
36,513,Nicolas Pepe,1,3,6,33,5,1,0,1.42,1.41x,6,https://digitalhub.fifa.com/transform/1c7519d2-960c-4d19-83e7-40a155f1a8eb/PEPE-Nicolas_402261?&io=transform:fill
36,269,Soufiane Rahimi,1,4,6,33,5,1,2,1.59,1.26x,0,https://digitalhub.fifa.com/transform/7de765a2-f6c6-4d70-badd-a929c4cab547/RAHIMI-Soufiane_433426?&io=transform:fill
