rank,player_id,player,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,image_url
1,653,Mohamed Hany,2,10,90,11,https://digitalhub.fifa.com/transform/04f8ef57-e16f-49de-b7d4-ad430c4c430c/MOHAMED-HANY_408950?&io=transform:fill
2,261,Yassine Bounou,1,0,0,0,https://digitalhub.fifa.com/transform/338ae8a7-8734-423e-ae54-2f783dba77ce/BOUNOU-Yassine_356956?&io=transform:fill
2,615,Ellyes Skhiri,1,10,40,10,https://digitalhub.fifa.com/transform/e2ba8e19-b4ab-435f-b12c-e56d655c31e6/SKHIRI-Ellyes_411658?&io=transform:fill
2,354,Damian Bobadilla,1,5,95,22,https://digitalhub.fifa.com/transform/720524b9-bfc5-4139-a873-cba0a35bfa95/BOBADILLA-Damian_476348?&io=transform:fill
2,157,Mahmoud Abunada,1,0,0,0,https://digitalhub.fifa.com/transform/86cd9af3-c09a-4bcd-9830-fed9d7b19ab6/MAHMOUD-ABUNADA_419459?&io=transform:fill
2,759,Hassan Altambakti,1,5,26,7,https://digitalhub.fifa.com/transform/e64a0c6b-4cc6-4ffb-bc98-b4af95bed8bf/ALTAMBAKTI-Hassan_403335?&io=transform:fill
2,182,Mohamed Manai,1,2,52,3,https://digitalhub.fifa.com/transform/67e02103-4569-4a5c-a7a2-1f9b42cab1a5/MOHAMED-MANAI_498458?&io=transform:fill
2,1019,Yazan Alarab,1,10,28,16,https://digitalhub.fifa.com/transform/f69b7b80-4362-431e-9e25-32c7d0a92c88/YAZAN-ALARAB_431225?&io=transform:fill
2,876,Aymen Hussein,1,5,60,3,https://digitalhub.fifa.com/transform/388e5207-980c-407a-828c-270fbd4fdff6/AYMEN-HUSSEIN_395186?&io=transform:fill
2,731,Diney Borges,1,5,29,16,https://digitalhub.fifa.com/transform/9bffceda-d572-41b1-917b-06196bbffb3c/DINEY-BORGES_409241?&io=transform:fill
2,184,Miro Muheim,1,3,16,1,https://digitalhub.fifa.com/transform/d3efd73b-690b-417d-a645-0a45b5c00bc8/MUHEIM-Miro_493221?&io=transform:fill
2,333,Cameron Burgess,1,2,14,9,https://digitalhub.fifa.com/transform/75870c29-917d-4ad0-984c-c7ba4e85953c/BURGESS-Cameron_382312?&io=transform:fill
2,1130,Abduvohid Nematov,1,0,0,0,https://digitalhub.fifa.com/transform/1f1bfea3-5228-4270-ad8d-c1c8f08ef522/NEMATOV-Abduvohid_479110?&io=transform:fill
14,723,Jesse Randall,0,3,15,2,https://digitalhub.fifa.com/transform/22bc60f6-3a5a-4df2-8493-b3193cf0cf22/RANDALL-Jesse_416652?&io=transform:fill
14,198,Christian Fassnacht,0,0,8,2,https://digitalhub.fifa.com/transform/7ece88c1-0971-4298-a4f1-00547bf2c889/FASSNACHT-Christian_448124?&io=transform:fill
14,199,Ruben Vargas,0,14,94,19,https://digitalhub.fifa.com/transform/625f7ce0-81a9-4bab-9b18-c9ec395b5096/VARGAS-Ruben_448131?&io=transform:fill
14,200,Eray Coemert,0,1,9,1,https://digitalhub.fifa.com/transform/9b17e0f6-f09e-417d-9829-857d7a7d1fa3/COEMERT-Eray_448136?&io=transform:fill
14,196,Ardon Jashari,0,3,33,4,https://digitalhub.fifa.com/transform/9e9fc9ed-5b8e-4c1e-a4e3-c29201d34dae/JASHARI-Ardon_448120?&io=transform:fill
14,203,Marvin Keller,0,0,0,0,https://digitalhub.fifa.com/transform/4c9ca839-ca31-4d4c-a620-3a5117c5efa8/KELLER-Marvin_484862?&io=transform:fill
14,206,Aurele Amenda,0,0,0,0,https://digitalhub.fifa.com/transform/f38da0cf-fda0-4f52-838c-0bb40ab279c8/AMENDA-Aurele_484864?&io=transform:fill
14,193,Dan Ndoye,0,32,141,20,https://digitalhub.fifa.com/transform/b536dbbe-88a2-4caf-97c0-6baac25c43fe/NDOYE-Dan_448114?&io=transform:fill
14,205,Zeki Amdouni,0,3,49,8,https://digitalhub.fifa.com/transform/64a9489f-28d0-40ca-9592-3cda9cb7cac5/AMDOUNI-Zeki_448112?&io=transform:fill
14,191,Johan Manzambi,0,14,102,13,https://digitalhub.fifa.com/transform/a0cb9413-32ea-4b8f-9801-55474cb12b77/MANZAMBI-Johan_502727?&io=transform:fill
14,207,Luca Jaquez,0,3,15,4,https://digitalhub.fifa.com/transform/2f3d611d-71c6-40ac-bc76-fdad78fe3c5e/JAQUEZ-Luca_510908?&io=transform:fill
14,183,Gregor Kobel,0,0,0,0,https://digitalhub.fifa.com/transform/8c199208-00cd-46ca-877b-f0fd4fb08e31/KOBEL-Gregor_448107?&io=transform:fill
14,386,Kaan Ayhan,0,0,1,1,https://digitalhub.fifa.com/transform/e9747d8e-47e9-45f3-b3b7-d3caf1ba1ecf/AYHAN-Kaan_336170?&io=transform:fill
14,208,Cedric Itten,0,4,27,6,https://digitalhub.fifa.com/transform/b9cc3593-aa7e-4f6f-b22b-2cdeae513a1e/ITTEN-Cedric_448104?&io=transform:fill
14,365,Mert Gunok,0,0,0,0,https://digitalhub.fifa.com/transform/1ce10157-fad1-435e-b21d-b4f25a483bc1/GUNOK-Mert_360498?&io=transform:fill
14,374,Hakan Calhanoglu,0,11,28,5,https://digitalhub.fifa.com/transform/f192cf34-173f-47b3-9748-981bd3f21275/CALHANOGLU-Hakan_369304?&io=transform:fill
14,204,Fabian Rieder,0,19,210,30,https://digitalhub.fifa.com/transform/7e5b9fb5-dfcf-47e7-b185-ebd6d915e0be/RIEDER-Fabian_448103?&io=transform:fill
14,369,Salih Ozcan,0,5,33,12,https://digitalhub.fifa.com/transform/1e968b8d-1b4c-4bce-86b7-8a4ad87eef3a/OZCAN-Salih_389907?&io=transform:fill
14,368,Caglar Soyuncu,0,0,1,1,https://digitalhub.fifa.com/transform/1b2e4fe1-8aec-4473-845b-d0ccb4e20a3a/SOYUNCU-Caglar_401167?&io=transform:fill
14,202,Michel Aebischer,0,8,52,6,https://digitalhub.fifa.com/transform/33ced9ed-c3fd-4933-bc83-4a7a1465a94f/AEBISCHER-Michel_433147?&io=transform:fill
14,383,Yunus Akgun,0,3,12,4,https://digitalhub.fifa.com/transform/32587fe7-0e67-4aa1-8b07-3a1618183e80/AKGUN-Yunus_406231?&io=transform:fill
14,197,Djibril Sow,0,8,54,5,https://digitalhub.fifa.com/transform/64b86b6f-824e-4ef9-aa1e-43cfff2a7df1/SOW-Djibril_411226?&io=transform:fill
14,379,Ozan Kabak,0,3,10,7,https://digitalhub.fifa.com/transform/c42910db-c5e6-4706-bc99-1e08456bd3ef/KABAK-Ozan_406249?&io=transform:fill
14,382,Mert Muldur,0,1,10,5,https://digitalhub.fifa.com/transform/61f43913-2824-4711-9838-0d620f393353/MULDUR-Mert_430120?&io=transform:fill
14,187,Manuel Akanji,0,15,44,21,https://digitalhub.fifa.com/transform/3a90610e-9f70-434a-b8b0-450a1ea81d75/AKANJI-Manuel_405178?&io=transform:fill
