rank,player_id,player,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,image_url
1,284,Neil El Aynaoui,15,7,0,0,0,0,https://digitalhub.fifa.com/transform/3d04af2c-60a8-48c8-be3e-d13bf5373c0c/EL-AYNAOUI-Neil_485740?&io=transform:fill
2,352,Andres Cubas,14,3,1,0,0,0,https://digitalhub.fifa.com/transform/5f115675-51fb-4e0c-ac8c-7226b762b4a1/CUBAS-Andres_385306?&io=transform:fill
3,473,Aleksandar Pavlovic,13,4,1,0,0,0,https://digitalhub.fifa.com/transform/7cfb5f20-6f8a-4329-97a2-be3cb66fea0f/PAVLOVIC-Aleksandar_484849?&io=transform:fill
4,647,Nicolas Raskin,12,3,0,0,0,0,https://digitalhub.fifa.com/transform/2a366682-88f4-4d6f-ae54-e474030615cc/RASKIN-Nicolas_495349?&io=transform:fill
4,799,Lamine Yamal,12,8,0,0,0,7,https://digitalhub.fifa.com/transform/37b631d3-c340-4590-91a8-bb00bd5f1e89/YAMAL-Lamine_484320?&io=transform:fill
6,195,Ricardo Rodriguez,11,2,0,0,0,0,https://digitalhub.fifa.com/transform/07f27983-8eee-43f3-b68c-b45b6f806785/RODRIGUEZ-Ricardo_313559?&io=transform:fill
6,114,Ermedin Demirovic,11,3,1,0,0,1,https://digitalhub.fifa.com/transform/b9e9f187-0936-4aba-9c70-2a4bcf2281e0/DEMIROVIC-Ermedin_436743?&io=transform:fill
6,846,Adrien Rabiot,11,3,1,0,0,1,https://digitalhub.fifa.com/transform/2daab6cd-9fc6-4a46-acd6-82974aab8415/RABIOT-Adrien_402047?&io=transform:fill
9,1046,Richard Rios,10,4,1,0,0,0,https://digitalhub.fifa.com/transform/3beeef45-2af9-4641-aa23-24aabb1ff865/RIOS-Richard_473050?&io=transform:fill
9,361,Matias Galarza,10,9,2,0,0,0,https://digitalhub.fifa.com/transform/ce774da7-eea7-475e-8526-8227b5068dc3/GALARZA-Matias_424422?&io=transform:fill
11,975,Cristian Romero,9,3,1,0,0,0,https://digitalhub.fifa.com/transform/61d5d60a-7e5a-4a29-919d-c52bd80b9a5a/ROMERO-Cristian_431196?&io=transform:fill
11,1054,Gustavo Puerta,9,8,1,0,0,0,https://digitalhub.fifa.com/transform/818f768e-54da-4c5f-88ef-8f596240c2b5/PUERTA-Gustavo_463902?&io=transform:fill
11,342,Juan Jose Caceres,9,6,1,0,0,0,https://digitalhub.fifa.com/transform/b465c59f-b480-4f3d-8f30-bb61a29aa6cb/CACERES-Juan-Jose_479601?&io=transform:fill
11,1042,Daniel Munoz,9,1,0,0,0,3,https://digitalhub.fifa.com/transform/597b88e8-d3ab-4f1f-9ba5-c031478769d3/MUNOZ-Daniel_431200?&io=transform:fill
11,986,Enzo Fernandez,9,5,0,0,0,1,https://digitalhub.fifa.com/transform/b88c6da2-28db-4d61-a668-ac8e84114063/FERNANDEZ-Enzo_448252?&io=transform:fill
11,1178,Elliot Anderson,9,13,1,0,0,0,https://digitalhub.fifa.com/transform/8da5855f-c957-4151-94a0-731e9714249f/ANDERSON-Elliot_481610?&io=transform:fill
11,628,Brandon Mechele,9,2,1,0,0,0,https://digitalhub.fifa.com/transform/dda9e35d-eedf-403b-8953-a5dc213fbf67/MECHELE-Brandon_448360?&io=transform:fill
11,1180,Jude Bellingham,9,16,1,0,0,1,https://digitalhub.fifa.com/transform/d711b37f-ec06-4ea7-bb52-50ba0a42ef67/BELLINGHAM-Jude_448202?&io=transform:fill
11,639,Thomas Meunier,9,0,0,0,0,0,https://digitalhub.fifa.com/transform/13d6695b-4220-48cb-91b1-16a60dff2aa6/MEUNIER-Thomas_358122?&io=transform:fill
11,189,Breel Embolo,9,11,2,1,1,4,https://digitalhub.fifa.com/transform/b2483096-041c-489b-a1c5-6d930f380909/EMBOLO-Breel_393480?&io=transform:fill
11,796,Rodri,9,6,0,0,0,1,https://digitalhub.fifa.com/transform/295ab5b2-4dbf-42b9-918b-04fb4ae0ec0a/RODRI_411375?&io=transform:fill
11,795,Alex Baena,9,7,1,0,0,2,https://digitalhub.fifa.com/transform/19c2a085-e986-4c5b-8af7-aa98f7adc36e/BAENA-Alex_447860?&io=transform:fill
23,190,Remo Freuler,8,3,0,0,0,1,https://digitalhub.fifa.com/transform/821a56dc-683d-4326-a784-21e25428a18f/FREULER-Remo_402021?&io=transform:fill
23,331,Harry Souttar,8,1,1,0,0,0,https://digitalhub.fifa.com/transform/6777563e-5036-4252-9809-a0cc21d96147/SOUTTAR-Harry_430442?&io=transform:fill
23,1142,Behruzjon Karimov,8,4,0,0,0,0,https://digitalhub.fifa.com/transform/0b62bdac-feaf-4b23-a22b-31a73c68a475/KARIMOV-Behruzjon_475260?&io=transform:fill
23,1132,Eldor Shomurodov,8,4,0,0,0,1,https://digitalhub.fifa.com/transform/d311d575-b59c-4d9f-8825-b506b0aa3c49/SHOMURODOV-Eldor_385475?&io=transform:fill
23,1236,Carlos Harvey,8,3,1,0,0,0,https://digitalhub.fifa.com/transform/498810de-6369-469e-8df9-db21395d1ee0/HARVEY-Carlos_418729?&io=transform:fill
23,398,Weston Mckennie,8,2,1,0,0,0,https://digitalhub.fifa.com/transform/4406f0ad-8f60-4a98-89c0-89797bfe804d/McKENNIE-Weston_390259?&io=transform:fill
23,984,Lautaro Martinez,8,5,1,0,0,2,https://digitalhub.fifa.com/transform/2368bf53-1f73-427b-929e-557187d53ac7/MARTINEZ-Lautaro_402920?&io=transform:fill
23,971,Julian Alvarez,8,3,0,0,0,2,https://digitalhub.fifa.com/transform/c7715f12-adb9-4504-9be2-e2899bdbd172/ALVAREZ-Julian_416081?&io=transform:fill
23,393,Chris Richards,8,3,1,0,0,0,https://digitalhub.fifa.com/transform/54036d3d-1588-4634-944b-a7c2d97d0b76/RICHARDS-Chris_419062?&io=transform:fill
23,1074,Samuel Moutoussamy,8,1,1,0,0,0,https://digitalhub.fifa.com/transform/e22f732a-a001-4c41-96c8-138b79ed45b2/MOUTOUSSAMY-Samuel_433076?&io=transform:fill
23,271,Ismael Saibari,8,3,0,0,0,3,https://digitalhub.fifa.com/transform/250526c6-26b5-4425-8a21-231c7952e34d/SAIBARI-Ismael_448598?&io=transform:fill
23,134,Luc De Fougerolles,8,8,2,0,0,0,https://digitalhub.fifa.com/transform/5a74297e-1aa4-41fa-a151-782f1211d1a0/DE-FOUGEROLLES-Luc_480322?&io=transform:fill
23,152,Richie Laryea,8,13,1,0,0,1,https://digitalhub.fifa.com/transform/612f188f-bb60-45db-8932-fc7dd2ca13ec/LARYEA-Richie_431696?&io=transform:fill
23,669,Marawan Attia,8,1,2,0,0,0,https://digitalhub.fifa.com/transform/cf051f82-c8a8-4328-9439-2ab64f616b83/MARAWAN-ATTIA_461788?&io=transform:fill
23,1179,Harry Kane,8,9,0,0,0,2,https://digitalhub.fifa.com/transform/5ad83fe6-1139-4f92-a97c-669052eb1755/KANE-Harry_369419?&io=transform:fill
38,889,David Moller Wolfe,7,2,0,0,0,0,https://digitalhub.fifa.com/transform/27678ee5-00fb-4d48-ac88-402cab97d566/MOLLER-WOLFE-David_483505?&io=transform:fill
38,645,Timothy Castagne,7,2,1,0,0,0,https://digitalhub.fifa.com/transform/58f1cc7c-04f4-43ba-bc82-85c1226fb7a2/CASTAGNE-Timothy_411443?&io=transform:fill
38,629,Maxim De Cuyper,7,2,1,0,0,0,https://digitalhub.fifa.com/transform/1c22dfc4-3eb2-4778-b310-ef4b62aef0c6/DE-CUYPER-Maxim_448373?&io=transform:fill
38,1161,Petar Sucic,7,6,1,0,0,1,https://digitalhub.fifa.com/transform/89c383c2-39ba-413d-b945-e42dd2d47c6d/SUCIC-Petar_485066?&io=transform:fill
38,632,Youri Tielemans,7,10,0,0,0,1,https://digitalhub.fifa.com/transform/158822ad-a0e9-406c-a84d-e79b0392409f/TIELEMANS-Youri_401444?&io=transform:fill
38,1172,Ezri Konsa,7,11,0,0,0,0,https://digitalhub.fifa.com/transform/54b28723-92e1-42e8-97b5-162f5099cf60/KONSA-Ezri_403049?&io=transform:fill
38,993,Stefan Posch,7,3,2,0,0,0,https://digitalhub.fifa.com/transform/c888b84b-0ddd-496f-b621-f281e4e54911/POSCH-Stefan_441067?&io=transform:fill
38,80,Lee Hanbeom,7,3,0,0,0,0,https://digitalhub.fifa.com/transform/5486bd22-b834-4885-acde-af11531a61ba/LEE-Hanbeom_423874?&io=transform:fill
38,682,Saeid Ezatolahi,7,4,2,0,0,0,https://digitalhub.fifa.com/transform/a2e8983e-9596-49b3-8c5c-e398d66e27c5/EZATOLAHI-Saeid_371736?&io=transform:fill
38,161,Jassem Gaber,7,0,1,0,0,0,https://digitalhub.fifa.com/transform/14edcf5c-c52c-4a12-8078-40032f99dbd0/JASSEM-GABER_419473?&io=transform:fill
38,541,Hiroki Ito,7,0,0,0,0,0,https://digitalhub.fifa.com/transform/68ebc735-7e69-4908-98b7-b6d691e9cbf7/ITO-Hiroki_403274?&io=transform:fill
38,760,Nasser Aldawsari,7,2,1,0,0,0,https://digitalhub.fifa.com/transform/81e654c7-8273-4e1f-b909-62613fbf14ea/NASSER-ALDAWSARI_403319?&io=transform:fill
38,579,Lucas Bergvall,7,4,1,0,0,0,https://digitalhub.fifa.com/transform/bd927d6a-bb9d-4424-9e96-53c2ebc7220b/BERGVALL-Lucas_489689?&io=transform:fill
38,792,Pedro Porro,7,6,0,0,0,0,https://digitalhub.fifa.com/transform/2c33b0c7-c399-4eac-98b2-66f35e77886a/PORRO-Pedro_430144?&io=transform:fill
38,804,Marc Cucurella,7,2,1,0,0,3,https://digitalhub.fifa.com/transform/3bc6b871-a4b2-4201-8885-a77420f4c7c9/CUCURELLA-Marc_430735?&io=transform:fill
38,118,Ivan Sunjic,7,0,0,0,0,0,https://digitalhub.fifa.com/transform/ddc91c53-fc37-453c-b16e-50ef5e2dd2da/SUNJIC-Ivan_372436?&io=transform:fill
38,221,Danilo,7,1,2,0,0,1,https://digitalhub.fifa.com/transform/364f443f-83df-4e8e-803c-765feae146a3/DANILO_335656?&io=transform:fill
38,820,Agustin Canobbio,7,5,0,1,0,1,https://digitalhub.fifa.com/transform/5985fa52-e467-4c1c-95f2-355bd1cb3925/CANOBBIO-Agustin_402876?&io=transform:fill
