rank,player_id,player,passes,passes_completed,passing_accuracy,crosses,crossing_accuracy,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy,switches_of_play_attempted,switches_of_play_accuracy,image_url
1,796,Rodri,694,648,93,3,0,1,16,94,5,80,https://digitalhub.fifa.com/transform/295ab5b2-4dbf-42b9-918b-04fb4ae0ec0a/RODRI_411375?&io=transform:fill
2,794,Aymeric Laporte,568,533,94,0,0,0,10,60,7,100,https://digitalhub.fifa.com/transform/e923ca38-381d-4187-9d40-9f5f72434530/LAPORTE-Aymeric_335999?&io=transform:fill
3,802,Pau Cubarsi,566,547,97,1,0,0,6,67,1,100,https://digitalhub.fifa.com/transform/02b8f052-fa36-41a9-807e-e8f7c6a96d61/CUBARSI-Pau_474973?&io=transform:fill
4,967,Leandro Paredes,521,496,95,2,50,1,5,60,6,100,https://digitalhub.fifa.com/transform/76c073ae-2d3c-47b6-8fb5-698893f91a6f/PAREDES-Leandro_332847?&io=transform:fill
5,986,Enzo Fernandez,483,448,93,5,40,5,20,75,8,88,https://digitalhub.fifa.com/transform/b88c6da2-28db-4d61-a668-ac8e84114063/FERNANDEZ-Enzo_448252?&io=transform:fill
6,187,Manuel Akanji,479,444,93,0,0,0,8,88,8,100,https://digitalhub.fifa.com/transform/3a90610e-9f70-434a-b8b0-450a1ea81d75/AKANJI-Manuel_405178?&io=transform:fill
7,192,Granit Xhaka,470,427,91,4,0,2,15,47,8,100,https://digitalhub.fifa.com/transform/a6c333cc-3042-4094-9ec0-094479b8ca3a/XHAKA-Granit_311558?&io=transform:fill
8,1176,Marc Guehi,455,442,97,0,0,2,8,88,4,75,https://digitalhub.fifa.com/transform/c9686f87-8abd-45fb-a1e0-321ee8470dd6/GUEHI-Marc_405841?&io=transform:fill
9,262,Achraf Hakimi,449,402,90,38,32,11,7,86,6,83,https://digitalhub.fifa.com/transform/22c6ca49-7262-4799-8a9f-530e427321ac/HAKIMI-Achraf_400721?&io=transform:fill
10,1172,Ezri Konsa,440,423,96,3,0,1,3,100,3,67,https://digitalhub.fifa.com/transform/54b28723-92e1-42e8-97b5-162f5099cf60/KONSA-Ezri_403049?&io=transform:fill
11,186,Nico Elvedi,438,406,93,0,0,3,2,50,5,100,https://digitalhub.fifa.com/transform/5631cb24-dba7-44dd-ac2c-1c67b14d7649/ELVEDI-Nico_398509?&io=transform:fill
12,1178,Elliot Anderson,434,385,89,6,50,1,17,71,10,90,https://digitalhub.fifa.com/transform/8da5855f-c957-4151-94a0-731e9714249f/ANDERSON-Elliot_481610?&io=transform:fill
13,284,Neil El Aynaoui,433,405,94,0,0,1,3,0,3,67,https://digitalhub.fifa.com/transform/3d04af2c-60a8-48c8-be3e-d13bf5373c0c/EL-AYNAOUI-Neil_485740?&io=transform:fill
14,211,Gabriel Magalhaes,431,413,96,0,0,0,2,50,2,100,https://digitalhub.fifa.com/transform/b5870a76-5391-40b7-a348-e2b17995637b/GABRIEL-MAGALHAES_430601?&io=transform:fill
15,836,Dayot Upamecano,429,396,92,0,0,2,6,67,4,100,https://digitalhub.fifa.com/transform/daae69ae-72e0-4e42-812f-d19d74d12478/UPAMECANO-Dayot_389876?&io=transform:fill
16,892,Sander Berge,425,412,97,2,0,1,4,75,2,100,https://digitalhub.fifa.com/transform/b7cf7654-f43e-4993-975e-5a2a0d5633f8/BERGE-Sander_404645?&io=transform:fill
17,968,Lisandro Martinez,424,401,95,3,0,2,9,67,1,100,https://digitalhub.fifa.com/transform/1b4390f3-e94f-4851-a36b-595356b3d414/MARTINEZ-Lisandro_402921?&io=transform:fill
18,800,Pedri,410,364,89,14,36,2,14,71,2,100,https://digitalhub.fifa.com/transform/75a5861e-008f-460c-81e4-8085fa2cc961/PEDRI_423646?&io=transform:fill
19,1115,Vitinha,403,379,94,0,0,2,7,71,11,100,https://digitalhub.fifa.com/transform/8d21116d-608f-409b-932b-71c1ee1a043c/VITINHA_441149?&io=transform:fill
20,982,Alexis Mac Allister,400,368,92,1,0,1,2,0,3,100,https://digitalhub.fifa.com/transform/78b6a9e4-f2b9-4e19-b414-79b18858caaf/MAC-ALLISTER-Alexis_430628?&io=transform:fill
21,628,Brandon Mechele,399,369,92,0,0,1,4,50,2,100,https://digitalhub.fifa.com/transform/dda9e35d-eedf-403b-8953-a5dc213fbf67/MECHELE-Brandon_448360?&io=transform:fill
22,804,Marc Cucurella,389,358,92,13,23,1,12,50,2,100,https://digitalhub.fifa.com/transform/3bc6b871-a4b2-4201-8885-a77420f4c7c9/CUCURELLA-Marc_430735?&io=transform:fill
22,975,Cristian Romero,389,378,97,0,0,3,1,0,0,0,https://digitalhub.fifa.com/transform/61d5d60a-7e5a-4a29-919d-c52bd80b9a5a/ROMERO-Cristian_431196?&io=transform:fill
24,957,Ramy Bensebaini,385,359,93,0,0,1,8,38,1,100,https://digitalhub.fifa.com/transform/329752fa-e310-4124-8fb2-be7cc478b929/BENSEBAINI-Ramy_395113?&io=transform:fill
25,938,Aissa Mandi,382,357,93,0,0,0,5,20,10,90,https://digitalhub.fifa.com/transform/dc4250ac-0a37-44da-9ae0-c858225ad8a1/MANDI-Aissa_376285?&io=transform:fill
26,212,Marquinhos,380,367,97,1,100,0,4,75,6,100,https://digitalhub.fifa.com/transform/30069661-f88d-4ff7-9c4e-071a5cf3c093/MARQUINHOS_332946?&io=transform:fill
27,472,Jonathan Tah,375,364,97,1,0,1,3,100,1,100,https://digitalhub.fifa.com/transform/34f74ca0-1102-446c-b098-02decdf58b8d/TAH-Jonathan_401378?&io=transform:fill
28,474,Joshua Kimmich,368,336,91,25,20,1,9,56,2,100,https://digitalhub.fifa.com/transform/ada33dfd-5b01-4792-88f4-14c06641509e/KIMMICH-Joshua_386413?&io=transform:fill
29,894,Martin Odegaard,367,322,88,16,19,3,18,56,0,0,https://digitalhub.fifa.com/transform/2b895db6-7f67-4436-b8da-54bdf0dd2e2b/ODEGAARD-Martin_400716?&io=transform:fill
30,1063,Davinson Sanchez,361,324,90,0,0,1,10,20,6,100,https://digitalhub.fifa.com/transform/ce6f352e-52e7-4265-9bc9-d482292fe4fb/SANCHEZ-Davinson_386013?&io=transform:fill
31,552,Jan Paul Van Hecke,360,335,93,1,0,1,5,60,4,75,https://digitalhub.fifa.com/transform/eb113fdd-d066-44a9-a0dc-7bf075fdc57f/VAN-HECKE-Jan-Paul_489517?&io=transform:fill
31,843,Michael Olise,360,311,86,20,25,16,26,73,2,100,https://digitalhub.fifa.com/transform/979cc206-e23b-4b21-8d40-843607ba8964/OLISE-Michael_485655?&io=transform:fill
