rank,player_id,player,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,image_url
1,350,Orlando Gill,28,141,124,https://digitalhub.fifa.com/transform/29bae713-62ca-48da-8655-9c2caa0e728d/GILL-Orlando_494531?&io=transform:fill
2,417,Eloy Room,21,81,72,https://digitalhub.fifa.com/transform/5bd9ff87-6801-46d2-8f10-ca9eb3ea2ea4/ROOM-Eloy_390650?&io=transform:fill
3,183,Gregor Kobel,20,100,88,https://digitalhub.fifa.com/transform/8c199208-00cd-46ca-877b-f0fd4fb08e31/KOBEL-Gregor_448107?&io=transform:fill
3,1093,Diogo Costa,20,114,93,https://digitalhub.fifa.com/transform/7c3541e5-a8cb-458c-b368-7f57c1b5ae03/DIOGO-COSTA_403001?&io=transform:fill
5,1171,Jordan Pickford,19,133,110,https://digitalhub.fifa.com/transform/5f9b3bbf-edb5-4956-bce7-2d0a8e77f6ab/PICKFORD-Jordan_336022?&io=transform:fill
5,261,Yassine Bounou,19,112,91,https://digitalhub.fifa.com/transform/338ae8a7-8734-423e-ae54-2f783dba77ce/BOUNOU-Yassine_356956?&io=transform:fill
7,729,Vozinha,18,136,102,https://digitalhub.fifa.com/transform/b8286230-b161-484e-87a9-ce5a20e6f7d1/VOZINHA_364752?&io=transform:fill
8,521,Zion Suzuki,17,78,64,https://digitalhub.fifa.com/transform/7a045252-7c97-4f14-9493-4977e3e3156e/SUZUKI-Zion_405530?&io=transform:fill
8,775,Mohammed Alowais,17,86,78,https://digitalhub.fifa.com/transform/be2d88f0-e368-49ef-9a33-c7585955c495/MOHAMMED-ALOWAIS_396885?&io=transform:fill
8,547,Bart Verbruggen,17,57,54,https://digitalhub.fifa.com/transform/44bfd693-27d5-4d36-823e-5ff0e6cd2524/VERBRUGGEN-Bart_424081?&io=transform:fill
8,885,Orjan Nyland,17,107,93,https://digitalhub.fifa.com/transform/4abc883f-1368-46d6-8849-308d06b641e6/NYLAND-Orjan_373235?&io=transform:fill
8,625,Thibaut Courtois,17,110,90,https://digitalhub.fifa.com/transform/b630bdbe-3615-43b0-b715-8da37b1ecfa6/COURTOIS-Thibaut_358106?&io=transform:fill
13,157,Mahmoud Abunada,16,124,103,https://digitalhub.fifa.com/transform/86cd9af3-c09a-4bcd-9830-fed9d7b19ab6/MAHMOUD-ABUNADA_419459?&io=transform:fill
14,677,Alireza Beiranvand,15,75,65,https://digitalhub.fifa.com/transform/c8cf4e84-2bd2-4e20-bb73-c7f14a935b73/BEIRANVAND-Alireza_380007?&io=transform:fill
14,1067,Lionel Mpasi,15,83,70,https://digitalhub.fifa.com/transform/93a9ca9a-b0db-41bb-80e6-878eb46f0c84/MPASI-Lionel_441313?&io=transform:fill
14,989,Alexander Schlager,15,85,74,https://digitalhub.fifa.com/transform/9612130f-7351-47d4-b346-dcd331a62cbe/SCHLAGER-Alexander_371739?&io=transform:fill
14,209,Alisson,15,67,59,https://digitalhub.fifa.com/transform/6b051628-d407-41ce-8a60-dc354ac4ccb8/ALISSON_308370?&io=transform:fill
18,673,Mostafa Shoubir,14,119,105,https://digitalhub.fifa.com/transform/0fa52c2d-3a6c-49cf-ac83-ddc4a08d57e3/MOSTAFA-SHOUBIR_416906?&io=transform:fill
18,53,Ronwen Williams,14,72,59,https://digitalhub.fifa.com/transform/b95f9142-251c-4943-911c-9c8d7ad8dd1c/WILLIAMS-Ronwen_395986?&io=transform:fill
18,330,Patrick Beach,14,91,76,https://digitalhub.fifa.com/transform/0ea3c68c-c425-41c4-b973-c60e2d5b4685/BEACH-Patrick_494557?&io=transform:fill
18,803,Unai Simon,14,108,84,https://digitalhub.fifa.com/transform/41e0f920-bd7d-4bd6-882b-c83ed33e3f26/SIMON-Unai_430753?&io=transform:fill
22,235,Johny Placide,13,56,48,https://digitalhub.fifa.com/transform/3b4c1123-62c6-4267-9d22-6d138e461a54/PLACIDE-Johny_295922?&io=transform:fill
23,443,Hernan Galindez,12,68,63,https://digitalhub.fifa.com/transform/679fc90e-2f98-4494-a4dd-f26442fae6d3/GALINDEZ-Hernan_441236?&io=transform:fill
23,573,Jacob Widell Zetterstrom,12,54,46,https://digitalhub.fifa.com/transform/c93a418b-3456-4b0f-b0e0-8cb27004aebb/WIDELL-ZETTERSTROM-Jacob_489685?&io=transform:fill
23,1145,Dominik Livakovic,12,80,68,https://digitalhub.fifa.com/transform/6f54cf31-4fd8-4dff-aaa7-9db6bf2fa2ec/LIVAKOVIC-Dominik_369029?&io=transform:fill
26,848,Mike Maignan,11,80,64,https://digitalhub.fifa.com/transform/3f92a933-a22d-4f58-8f4f-b51370aeacf4/MAIGNAN-Mike_448332?&io=transform:fill
26,495,Yahia Fofana,11,84,68,https://digitalhub.fifa.com/transform/c5bc8a38-479f-4c33-b8f6-9ab95bb45b57/FOFANA-Yahia_405873?&io=transform:fill
26,79,Kim Seunggyu,11,42,34,https://digitalhub.fifa.com/transform/d4c2a3d5-e369-4813-97eb-16669f83dd78/KIM-Seunggyu_274281?&io=transform:fill
26,1,Matej Kovar,11,60,52,https://digitalhub.fifa.com/transform/06f2bdbf-6411-4f1c-885b-3c745e37363e/KOVAR-Matej_484012?&io=transform:fill
26,703,Max Crocombe,11,97,88,https://digitalhub.fifa.com/transform/0d8fc4f9-7330-4eaa-bbf0-7dfccbec09db/CROCOMBE-Max_368535?&io=transform:fill
31,414,Matt Freese,10,58,48,https://digitalhub.fifa.com/transform/c46f695b-3acc-4360-abf4-3110ff60d86e/FREESE-Matt_499913?&io=transform:fill
32,1244,Orlando Mosquera,9,48,42,https://digitalhub.fifa.com/transform/050825b5-4cad-4874-8aa9-fdf8bda50819/MOSQUERA-Orlando_441241?&io=transform:fill
32,821,Emiliano Martinez,9,87,73,https://digitalhub.fifa.com/transform/0cf69c75-fc91-401b-a1f3-f8f833c87eed/MARTINEZ-Emiliano_473062?&io=transform:fill
32,287,Angus Gunn,9,75,64,https://digitalhub.fifa.com/transform/c13202b1-f3b1-4fe1-bc72-0ee5b3135bbc/GUNN-Angus_411301?&io=transform:fill
32,959,Luca Zidane,9,34,32,https://digitalhub.fifa.com/transform/9a389290-d443-4b83-8e3a-70e481bca3f1/ZIDANE-Luca_389879?&io=transform:fill
36,1015,Yazeed Abulaila,8,70,56,https://digitalhub.fifa.com/transform/155d55d5-4b94-4b50-9ed1-b9a102a501a2/YAZEED-ABULAILA_397894?&io=transform:fill
36,926,Edouard Mendy,8,34,25,https://digitalhub.fifa.com/transform/9093beeb-51a2-4e1d-b700-73e094c6949c/MENDY-Edouard_433806?&io=transform:fill
36,1197,Lawrence Ati Zigi,8,31,30,https://digitalhub.fifa.com/transform/ff31f89d-7f19-4a3e-b213-6c943ec77fb4/ZIGI-Lawrence-Ati_386473?&io=transform:fill
36,1212,Benjamin Asare,8,55,47,https://digitalhub.fifa.com/transform/59f40ed7-650e-48ef-8f42-8a8a326b0504/ASARE-Benjamin_494349?&io=transform:fill
36,387,Ugurcan Cakir,8,55,46,https://digitalhub.fifa.com/transform/6cedaf47-2a99-4e31-bb0d-46ce78df26a6/CAKIR-Ugurcan_441181?&io=transform:fill
36,105,Nikola Vasilj,8,92,70,https://digitalhub.fifa.com/transform/be1c5819-9bc1-4bf3-b677-9172d1be6bea/VASILJ-Nikola_482978?&io=transform:fill
36,27,Raul Rangel,8,57,46,https://digitalhub.fifa.com/transform/3ea092ae-841d-4dc6-9ca0-78eb4dfb97c7/RANGEL-Raul_485070?&io=transform:fill
43,1052,Camilo Vargas,7,57,54,https://digitalhub.fifa.com/transform/0a3646b6-8b61-4004-a460-0aad23a8ff36/VARGAS-Camilo_360642?&io=transform:fill
43,870,Jalal Hassan,7,51,45,https://digitalhub.fifa.com/transform/a7f7a32a-4968-462b-9c34-e8a0d0530b99/JALAL-HASSAN_347085?&io=transform:fill
