rank,player_id,player,goals,assists,minutes_played,image_url
1,972,Lionel Messi,8,4,712,https://digitalhub.fifa.com/transform/19823774-fac0-485a-8a8f-572e7324c6c2/MESSI-Lionel_229397?&io=transform:fill
2,842,Kylian Mbappe,8,3,666,https://digitalhub.fifa.com/transform/66f6087d-9563-4644-8f10-5614ef6e1e51/MBAPPE-Kylian_389867?&io=transform:fill
3,893,Erling Haaland,7,0,537,https://digitalhub.fifa.com/transform/ee269811-9f84-401f-99b8-e953a2704ebb/HAALAND-Erling_419652?&io=transform:fill
4,1180,Jude Bellingham,6,1,679,https://digitalhub.fifa.com/transform/d711b37f-ec06-4ea7-bb52-50ba0a42ef67/BELLINGHAM-Jude_448202?&io=transform:fill
5,1179,Harry Kane,6,1,732,https://digitalhub.fifa.com/transform/5ad83fe6-1139-4f92-a97c-669052eb1755/KANE-Harry_369419?&io=transform:fill
6,839,Ousmane Dembele,5,2,595,https://digitalhub.fifa.com/transform/e6eee717-fd8c-4f8f-a7e0-c4f978fe327f/DEMBELE-Ousmane_398680?&io=transform:fill
7,801,Mikel Oyarzabal,5,1,599,https://digitalhub.fifa.com/transform/2f46ed20-b155-4201-8b97-badbc3619450/OYARZABAL-Mikel_430751?&io=transform:fill
8,928,Ismaila Sarr,4,1,419,https://digitalhub.fifa.com/transform/695226c6-92b8-4aa6-995e-dcdd2d08eb96/SARR-Ismaila_401889?&io=transform:fill
9,42,Julian Quinones,4,1,440,https://digitalhub.fifa.com/transform/ea06becb-97b2-4f89-8464-5e0854cb7f81/QUINONES-Julian_429157?&io=transform:fill
10,215,Vinicius Junior,4,1,505,https://digitalhub.fifa.com/transform/1c2722c3-a70b-49d8-bdb4-77109161f533/VINICIUS-JUNIOR_405742?&io=transform:fill
11,494,Deniz Undav,3,2,174,https://digitalhub.fifa.com/transform/3ec30e08-a7eb-4781-aea8-0e9ff86ebef1/UNDAV-Deniz_484851?&io=transform:fill
