rank,player_id,player,average_speed,high_speed_running,sprints,total_distance,image_url
1,397,Giovanni Reyna,8.06,315,71,19203.54,https://digitalhub.fifa.com/transform/b30d701d-d9eb-4b2d-8db4-6841fc9ed1a9/REYNA-Giovanni_419068?&io=transform:fill
2,24,Alexandr Sojka,8.04,321,108,19628.07,https://digitalhub.fifa.com/transform/f8e5df75-7de8-4950-bb53-b1d950621d33/SOJKA-Alexandr_523097?&io=transform:fill
3,773,Abdullah Alhamddan,7.86,170,70,10726.97,https://digitalhub.fifa.com/transform/2bdfc07a-ee4d-46f1-bc76-a69bd5d9e9be/ABDULLAH-ALHAMDDAN_419302?&io=transform:fill
4,723,Jesse Randall,7.8,113,69,9324.27,https://digitalhub.fifa.com/transform/22bc60f6-3a5a-4df2-8493-b3193cf0cf22/RANDALL-Jesse_416652?&io=transform:fill
5,786,Mikel Merino,7.75,442,107,24908.08,https://digitalhub.fifa.com/transform/bcc810b0-5c45-4781-809e-beae8b68e1d8/MERINO-Mikel_430733?&io=transform:fill
6,582,Benjamin Nygren,7.73,282,104,18972.62,https://digitalhub.fifa.com/transform/e464be99-48c1-41a9-b5aa-2c5760f1d302/NYGREN-Benjamin_502946?&io=transform:fill
7,473,Aleksandar Pavlovic,7.64,597,165,38018.1,https://digitalhub.fifa.com/transform/7cfb5f20-6f8a-4329-97a2-be3cb66fea0f/PAVLOVIC-Aleksandar_484849?&io=transform:fill
8,144,Jacob Shaffelburg,7.63,202,106,15826.53,https://digitalhub.fifa.com/transform/fd23f2a2-eb9d-4232-97ff-03c924d6b24e/SHAFFELBURG-Jacob_448411?&io=transform:fill
9,297,Ryan Christie,7.62,208,53,14260.28,https://digitalhub.fifa.com/transform/fce70106-25b4-4b34-b12b-10e4c6e90c18/CHRISTIE-Ryan_430097?&io=transform:fill
10,761,Musab Aljuwayr,7.55,326,85,20967.44,https://digitalhub.fifa.com/transform/c09997bc-1439-46be-a1f4-226d436e9eda/MUSAB-ALJUWAYR_436537?&io=transform:fill
11,382,Mert Muldur,7.5,145,57,15133.29,https://digitalhub.fifa.com/transform/61f43913-2824-4711-9838-0d620f393353/MULDUR-Mert_430120?&io=transform:fill
12,611,Rani Khedira,7.49,218,49,18577.38,https://digitalhub.fifa.com/transform/21f404b3-b430-489b-819c-c0460a2c3590/KHEDIRA-Rani_336459?&io=transform:fill
13,334,Jackson Irvine,7.47,495,125,31483.15,https://digitalhub.fifa.com/transform/7726492b-0996-47a2-aafd-bd362844d9df/IRVINE-Jackson_355775?&io=transform:fill
14,1022,Noor Alrawabdeh,7.46,635,142,38422,https://digitalhub.fifa.com/transform/1d0f7594-2192-4227-9ad5-696e4212f0ee/NOOR-ALRAWABDEH_431230?&io=transform:fill
15,661,Mostafa Zico,7.41,726,225,49154.47,https://digitalhub.fifa.com/transform/f417b544-6a3c-46a9-af78-d43d6cedcad1/MOSTAFA-ZICO_483161?&io=transform:fill
16,725,Ryan Thomas,7.4,216,78,13002.61,https://digitalhub.fifa.com/transform/daf68d11-59d7-46f3-98ec-25a359c8a3a9/THOMAS-Ryan_336641?&io=transform:fill
17,336,Paul Okon Engstler,7.39,365,108,25987.7,https://digitalhub.fifa.com/transform/c010f6a9-53af-4d79-b16d-f25b96670225/OKON-ENGSTLER-Paul_498421?&io=transform:fill
18,1027,Mahmoud Almardi,7.38,328,87,18861.43,https://digitalhub.fifa.com/transform/1e7a3a2d-fca9-400e-8a5a-244eadc0fb92/MAHMOUD-ALMARDI_396950?&io=transform:fill
19,800,Pedri,7.37,847,254,59490.08,https://digitalhub.fifa.com/transform/75a5861e-008f-460c-81e4-8085fa2cc961/PEDRI_423646?&io=transform:fill
20,404,Sebastian Berhalter,7.36,443,111,28137.58,https://digitalhub.fifa.com/transform/ef9aedbe-e6e8-4eba-9e62-beac982879ef/BERHALTER-Sebastian_499912?&io=transform:fill
21,309,Kenny Mclean,7.3,188,56,16438.49,https://digitalhub.fifa.com/transform/e1f470ca-8805-4250-8c30-39aa30a16ac9/McLEAN-Kenny_484051?&io=transform:fill
