rank,team_id,team,offers_to_receive,offers_in_behind,offers_in_between,offers_in_front,offers_inside_team_shape,offers_outside_team_shape,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,image_code,image_url
1,29,Spain,3431,955,1280,1196,2023,1408,106,1019,1527,ESP,https://api.fifa.com/api/v3/picture/flags-sq-4/ESP
2,37,Argentina,2971,769,1042,1160,1596,1375,73,798,1465,ARG,https://api.fifa.com/api/v3/picture/flags-sq-4/ARG
3,45,England,2866,714,959,1193,1604,1262,112,631,1200,ENG,https://api.fifa.com/api/v3/picture/flags-sq-4/ENG
4,10,Morocco,2397,679,865,853,1358,1039,61,589,1280,MAR,https://api.fifa.com/api/v3/picture/flags-sq-4/MAR
5,33,France,2349,672,773,904,1302,1047,98,780,1279,FRA,https://api.fifa.com/api/v3/picture/flags-sq-4/FRA
6,25,Belgium,2261,739,806,716,1245,1016,67,676,1092,BEL,https://api.fifa.com/api/v3/picture/flags-sq-4/BEL
7,44,Colombia,2159,618,848,693,1018,1141,52,511,906,COL,https://api.fifa.com/api/v3/picture/flags-sq-4/COL
8,36,Norway,2140,455,946,739,1120,1020,44,674,1123,NOR,https://api.fifa.com/api/v3/picture/flags-sq-4/NOR
9,8,Switzerland,2111,590,829,692,1233,878,76,627,1120,SUI,https://api.fifa.com/api/v3/picture/flags-sq-4/SUI
10,1,Mexico,2034,541,844,649,1076,958,40,505,834,MEX,https://api.fifa.com/api/v3/picture/flags-sq-4/MEX
11,26,Egypt,1963,437,745,781,929,1034,51,451,869,EGY,https://api.fifa.com/api/v3/picture/flags-sq-4/EGY
12,9,Brazil,1952,501,746,705,1112,840,55,462,828,BRA,https://api.fifa.com/api/v3/picture/flags-sq-4/BRA
13,13,USA,1913,550,738,625,1040,873,78,525,993,USA,https://api.fifa.com/api/v3/picture/flags-sq-4/USA
14,41,Portugal,1881,553,759,569,1021,860,63,579,988,POR,https://api.fifa.com/api/v3/picture/flags-sq-4/POR
15,38,Algeria,1621,477,637,507,905,716,38,379,888,ALG,https://api.fifa.com/api/v3/picture/flags-sq-4/ALG
16,17,Germany,1591,440,631,520,849,742,45,550,942,GER,https://api.fifa.com/api/v3/picture/flags-sq-4/GER
